inventory code,Title,Maker,date,chart estimate type,chart standarized date,Production Place,Country (current),Continent,historic period/ polity,historical age,category,link
LAD 2011.044,Raja Prithviraj Chauhan (ca. 1169-1192) Hunting Nilgai Chokha,anonymous,ca. 1800-1803,year range,1802,Udaipur ,India,Asia,,early modern,,
LAD 2012.010.002,Fight between Creugas and Damoxenos,Antonio Canova (1757-1822),1803,,1803,Possagno ,Italy,Europe,,early modern,,
LAD 2011.097,Two Bombay Grenadiers,anonymous,1800-1810,year range,1805,India,India,Asia,,modern & contemporary,,
LAD 2011.070,Maharajah Surat Singh of Bikaner,anonymous,ca. 1800-1810,year range,1805,India,India,Asia,,modern & contemporary,,
LAD 2011.098,Hookah Bearer,anonymous,ca. 1800-1810,year range,1805,India,India,Asia,,modern & contemporary,,
LAD 2012.105,A Princess Trying on Jewellery,anonymous,ca. 1800-1810,year range,1805,"Kangra, India",India,Asia,,modern & contemporary,,
LAD 2012.106,Radha’s Toilette,anonymous,ca. 1800-1810,year range,1805,"Kangra, India",India,Asia,,modern & contemporary,,
LAD 2011.062,Portrait of Maharaja Man Singh of Jodhpur,anonymous,ca. 1805-1810,year range,1807,India,India,Asia,,modern & contemporary,,
LAD 2009.033.002,Candlestick from Napoleon's I Surtout de Table. One of a Pair.,Jean-Charles-Nicolas Brachard called Brachard the Elder (1782-1824),ca. 1807-1817,year range,1812,"Imperial porcelain Manufactory, Sèvres ",France,Europe,,early modern,furniture,
LAD 2009.033.001,Candlestick from Napoleon's I Surtout de Table. One of a Pair.,Jean-Charles-Nicolas Brachard called Brachard the Elder (1782-1824),ca. 1807-1817,year range,1812,"Imperial porcelain Manufactory, Sèvres, France",France,Europe,,early modern,furniture,
LAD 2009.017,Don Pedro of Toledo Kissing the Sword of Henri IV,Jean-Auguste-Dominique Ingres ( 1780-1867),1814-1820,year range,1817,Paris ,France,Europe,,modern & contemporary,,
LAD 2012.111,Six Villagers in a Landscape,anonymous,ca. 1815-1820,year range,1817,Delhi,India,Asia,,modern & contemporary,,
