inventory code,Title,Maker,date,chart estimate type,chart standarized date,Production Place,Country (current),Continent,historic period/ polity,historical age,category,link
LAD 2009.018.001,The Bohemian,Edouard Manet (1832 -1883),1861-1862,year range,1861,Paris ,France,Europe,,modern & contemporary,painting,
LAD 2009.018.002,Still Life with Bag and Garlic,Edouard Manet (1832 -1883),1861-1862,year range,1861,Paris ,France,Europe,,modern & contemporary,painting,
LAD 2011.153,Path Between the Rocks,Eugène Cuvelier (1837-1900),"1862, September",specific year,1862,Fontainebleau ,France,Europe,,modern & contemporary,painting,
LAD 2009.038,The Gypsies,Edouard Manet (1832 -1883),1862,specific year,1862,Paris ,France,Europe,,modern & contemporary,painting,
LAD 2009.034,Vase - The Breadalbane Vase,Antoine Vechte (1799-1868),1862,specific year,1862,London,United Kingdom,Europe,,modern & contemporary,,
LAD 2011.122,A Durbar of Maharaja Krishnaraja Wodeyar III of Mysore with Lewin Bentham Bowring,anonymous,ca. 1862,specific year,1862,India,India,Asia,,modern & contemporary,,
LAD 2011.081,Maharao Sheodan Singh of Alwar in Durbar with the British Officer Eugene Impey,anonymous,ca. 1863,specific year,1863,India,India,Asia,,modern & contemporary,,
LAD 2011.080,Equestrian Portrait of Maharao Sheodan Singh of Alwar,anonymous,ca. 1863,specific year,1863,India,India,Asia,,modern & contemporary,,
LAD 2011.047,The Maharaja Jam Vibhaji Watching Traditional Dancing,anonymous,1864,specific year,1864,"Nawanagar, Kathiawar ",India,Asia,,modern & contemporary,,
LAD 2011.152,Jean de Paris,Eugène Cuvelier (1837-1900),1860-1870,year range,1865,France,France,Europe,,modern & contemporary,painting,
LAD 2011.113,A Punjab Regiment Officer with his Hound,,ca. 1860-1870,year range,1865,India,India,Asia,,modern & contemporary,,
LAD 2012.015,Dish in Iznik Style,Théodore Deck (1823-1891),ca. 1867,specific year,1867,Paris,France,Europe,,modern & contemporary,,
LAD 2012.016,Dish in Iznik Style,Théodore Deck (1823-1891),ca. 1867,specific year,1867,Paris,France,Europe,,modern & contemporary,,
LAD 2021.011,The Prince Entering the Briar Wood,Edward Burne-Jones,1869,specific year,1869,London,United Kingdom,Europe,,modern & contemporary,painting,
LAD 2011.123,Looking out From Inside the Tent,anonymous,1869,specific year,1869,India,India,Asia,,modern & contemporary,,
LAD 2014.014,Ceremonial Dagger with Horse-head Hilt,anonymous,ca. 1870,specific year,1870,North India,India,Asia,,early modern,,
LAD 2011.117,Darners at Work,anonymous,ca. 1870,specific year,1870,"Punjab, India",India,Asia,,modern & contemporary,,
LAD 2011.118,A Girl with Flowers,anonymous,ca. 1870,specific year,1870,"Punjab, India",India,Asia,,modern & contemporary,,
LAD 2012.011,Glass Vessel in the Shape of a Mosque Lamp,Joseph Brocard (1831-1896),1871,specific year,1871,Paris,France,Europe,,modern & contemporary,,
LAD 2011.010,"Anglo-Japanese ""Smallhythe"" Folding Table",Edward William Godwin (1833-1886),1872,specific year,1872,London,United Kingdom,Europe,,modern & contemporary,furniture,
LAD 2019.003,The Road to Verrieres,Alfred Sisley (1839-1899),1872,specific year,1872,France,France,Europe,,modern & contemporary,painting,
LAD 2011.132,Vase with Floral Decoration,Christopher Dresser (1834-1904),ca. 1870-1880,year range,1875,"Linthorpe Art Pottery, United Kingdom",United Kingdom,Europe,,modern & contemporary,,
LAD 2011.133,Incense Bowl,Christopher Dresser (1834-1904),ca. 1870-1880,year range,1875,"Minton pottery factory, United Kingdom",United Kingdom,Europe,,modern & contemporary,,
LAD 2011.134,Tea Box,Christopher Dresser (1834-1904),ca. 1870-1880,year range,1875,"Minton pottery factory, United Kingdom",United Kingdom,Europe,,modern & contemporary,,
LAD 2011.124,Meghavarna Runs Away with the Horse Syamakarna,anonymous,ca. 1850-1900,year range,1875,India,India,Asia,,modern & contemporary,,
LAD 2011.125,The Head of Vrisaketu Flies into Arjuna's Hand,anonymous,ca. 1850-1900,year range,1875,Karnakata or Andhra Pradresh,India,Asia,,modern & contemporary,,
LAD 2011.126,The Tiger Attacks the Cattle,anonymous,ca. 1850-1900,year range,1875,Karnakata or Andhra Pradresh,India,Asia,,modern & contemporary,,
LAD 2012.013,Glass Vessel in the Shape of a Mosque Lamp,Albert Pfulb,1876,specific year,1876,Paris,France,Europe,,modern & contemporary,,
LAD 2011.048,The Maharaja Dungar Singh and the Maharao Sahib Pragmulji,anonymous,ca. 1877,specific year,1877,Kutch ,India,Asia,,modern & contemporary,,
LAD 2022.002,The Cup of Chocolate,Pierre-Auguste Renoir (1841-1919),1877-1878,,1877,France,France,Europe,,modern & contemporary,,
LAD 2012.012,Glass Vessel in the Shape of a Mosque Lamp,Joseph Brocard (1831-1896),1878,specific year,1878,Paris,France,Europe,,modern & contemporary,,
LAD 2012.017,Young Emir Studying,Osman Hamdi Bey (1842-1910),1878,specific year,1878,Istanbul (?),Turkey,Asia,Ottoman Empire (1299-1922),modern & contemporary,,
LAD 2011.142,Toast rack,Christopher Dresser (1834-1904),1878,specific year,1878,"Hukin & Heath, Birmingham and London, United Kingdom",United Kingdom,Europe,,modern & contemporary,,
LAD 2009.036,The Bezique Game,Gustave Caillebotte (1848-1894),1880,specific year,1880,Paris ,France,Europe,,modern & contemporary,painting,
LAD 2010.002.002,Vase in Japanese Style. One of a Pair.,Emile-Auguste Reiber (1826-1893),1880,specific year,1880,Paris and Saint-Denis ,France,Europe,,modern & contemporary,,
LAD 2010.002.001,Vase in Japanese Style. One of a Pair.,Emile-Auguste Reiber (1826-1893),ca. 1880,specific year,1880,Paris and Saint-Denis ,France,Europe,,modern & contemporary,,
LAD 2011.100,Design for a Fantastic Tonjon,anonymous,ca. 1880,specific year,1880,India,India,Asia,,modern & contemporary,,
LAD 2011.141.001,Teapot. Part of a Tea Service,Christopher Dresser (1834-1904),ca. 1880,specific year,1880,"James Dixon & Sons Factory, Sheffield, United Kingdom",United Kingdom,Europe,,modern & contemporary,,
LAD 2011.141.002,Sugar Pot. Part of a Tea Service,Christopher Dresser (1834-1904),ca. 1880,specific year,1880,"James Dixon & Sons Factory, Sheffield, United Kingdom",United Kingdom,Europe,,modern & contemporary,,
LAD 2011.141.003,Milk Pot. Part of a Tea Service,Christopher Dresser (1834-1904),ca. 1880,specific year,1880,"James Dixon & Sons Factory, Sheffield, United Kingdom",United Kingdom,Europe,,modern & contemporary,,
LAD 2012.014,"Stool in Egyptian style, called the Thebes Stool",anonymous,after 1884,year range,1885,"High Wycombe (?), Buckinghamshire and London, ",United Kingdom,Europe,,modern & contemporary,furniture,
LAD 2015.038,Writing and Poem Case,Japan,ca. 1870-1900,year range,1885,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2010.001,Children Wrestling,Paul Gauguin (1848-1903),1888,specific year,1888,Pont-Aven ,France,Europe,,modern & contemporary,painting,
LAD 2011.143,Decanter,Christopher Dresser (1834-1904),ca. 1892-1893,year range,1892,"Hukin & Heath, Birmingham and London, United Kingdom",United Kingdom,Europe,,modern & contemporary,,
LAD 2011.135,Vase with Amerindians Figures,Christopher Dresser (1834-1904),ca. 1893,specific year,1893,Ault Pottery ,United Kingdom,Europe,,modern & contemporary,sculpture,
LAD 2011.138,Dish with Two Chimeras,William De Morgan (1839-1917),ca. 1890-1900,year range,1895,London,United Kingdom,Europe,,modern & contemporary,,
LAD 2013.049,"Shamanic Ritual Mask,",Yup’ik Culture,ca. 1890-1910,year range,1895,"Yukon River, Anvik region, Alaska",United States of America,America,,modern & contemporary,sculpture,
LAD 2011.136,"Bowl with Chameleons, Sunset and Moonlight Suite",William De Morgan (1839-1917),1890-1900,year range,1895,London,United Kingdom,Europe,,modern & contemporary,,
LAD 2011.137,Dish with Deer,William De Morgan (1839-1917),1890-1900,year range,1895,London,United Kingdom,Europe,,modern & contemporary,,
LAD 2011.014,Tray,Henry van de Velde (1863-1957 ),1898,specific year,1898,Brussels,Belgium,Europe,,modern & contemporary,furniture,
LAD 2014.020,"The Walking Man, On a Column",Auguste Rodin (1840-1917),1900,specific year,1900,France,France,Europe,,modern & contemporary,sculpture,
LAD 2011.008,Bench,Johan Borgersen (1853-1930),ca. 1900,specific year,1900,Oslo,Norway,Europe,,modern & contemporary,furniture,
LAD 2014.019,"Reliquary Statue,",Fang Culture,ca. 1900,specific year,1900,Gabon,Gabon,Europe,,modern & contemporary,,
LAD 2011.013,Jardinière,Alf Wallander (1862-1914),ca. 1900,specific year,1900,Rörstrand porcelain,Sweden,Europe,,modern & contemporary,,
LAD 2011.009,Chair,Bernhard Pankok (1872 -1943 ),1901,specific year,1901,"Vereinigte Werkstätte für Kunst im Handwerk, Munich",Germany,Europe,,modern & contemporary,furniture,
LAD 2011.144,Samovar,Josef Hoffmann (1870-1956),1904-1905,year range,1904,"Wiener Werkstätte, Vienna ",Austria,Europe,,modern & contemporary,furniture,
LAD 2011.011,Single-door Wardrobe,Koloman Moser (1868-1918),1905,specific year,1905,"Wiener Werkstätte, Vienna",Austria,Europe,,modern & contemporary,furniture,
LAD 2011.012,Suspension Lamp,Koloman Moser (1868-1918),1905,specific year,1905,"Wiener Werkstätte, Vienna ",Austria,Europe,,modern & contemporary,furniture,
LAD 2011.007,"Throne in ""Viking"" or ""Dragon"" Style",Lars Kinsarvik (1846-1925),ca. 1900-1910,year range,1905,Hardanger,Norway,,,modern & contemporary,furniture,
LAD 2020.121,The Call to Arms,Auguste Rodin (1840-1917),after 1906 date of original model: ,year range,1907,Paris ,France,Europe,,modern & contemporary,sculpture,
LAD 2015.039,Vase with Fish Decoration,Tsukada Shukyo (1848-1918),1910,specific year,1910,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2022.015,Woman with a Mandolin (Mademoiselle Léonine seated) ,Pablo Picasso (1881-1973),1911,specific year,1911,France,France,Europe,,modern & contemporary,,
LAD 2015.042,Crystal,František Kupka (1871-1957),1919-1920,,1919,Puteaux,France,Europe,,modern & contemporary,,
LAD 2009.001,"Composition with Blue, Red, Yellow and Black",Piet Mondrian (1872-1944),1922,specific year,1922,Paris ,France,Europe,,modern & contemporary,painting,
LAD 2023.001,Portrait of a Seated Woman (Olga),Pablo Picasso (1881-1973),1923 CE,specific year,1923,Paris or Antibes,France,Europe,,modern & contemporary,,
LAD 2015.041,Fan-shaped Wall Sconce,Jacques-Emile Ruhlmann (1879-1933),1924-1925,year range,1924,Paris,France,Europe,,modern & contemporary,,
LAD 2012.114,The Salon–Dining Room of Lord Rothermere,Jacques-Emile Ruhlmann (1879-1933),1925,specific year,1925,Paris,France,Europe,,modern & contemporary,,
LAD 2009.002,Curule Seat in African Style,Pierre-Emile Legrain (1889-1929),ca. 1925,specific year,1925,Paris ,France,Europe,,modern & contemporary,,
LAD 2012.115,Portrait of a Woman,Pablo Picasso (1881-1973),1928,specific year,1928,France,France,Europe,,modern & contemporary,painting,
LAD 2011.005,The Submissive Reader,René Magritte (1898 -1967),1928,specific year,1928,Le Perreux-sur-Marne,France,Europe,,modern & contemporary,painting,
LAD 2021.009,The Runners,Robert Delaunay (1885-1941),1930,specific year,1930,France,France,Europe,,modern & contemporary,painting,
LAD 2023.005,The Maharaja of Indore,Man Ray (1890-1976),  ca. 1930,specific year,1930,Paris,France,Europe,,modern & contemporary,photography,
LAD 2012.018,Untitled,Alexander Calder (1898-1976),ca. 1934,specific year,1934,New York,United States of America,America,,modern & contemporary,sculpture,
LAD 2009.037,Oriental Bliss,Paul Klee (1879-1940),1938,specific year,1938,Berne ,Switzerland,Europe,,modern & contemporary,painting,
LAD 2020.009,Between Darkness and Light (or Entre chien et loup),Marc Chagall (1887-1985),1938-1943,year range,1940,"Paris, France and New York, ",United States of America,America,,modern & contemporary,painting,
LAD 2016.010,The Antillean Parade,Wifredo Lam (1902-1982),1945,specific year,1945,Cuba,Cuba,America,,modern & contemporary,,
LAD 2015.044,Study for Homage to the Square: With Aura,Josef Albers (1888-1976),1959,specific year,1959,United States of America,United States of America,America,,modern & contemporary,painting,
LAD 2011.006,Anthropometry (ANT 110),Yves Klein (1928-1962),1960,specific year,1960,Paris,France,Europe,,modern & contemporary,painting,
LAD 2013.058,Chirisei Kyubiki,Kazuo Shiraga (1924-2008),1960,specific year,1960,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2015.043,Press «orange a+b»,Jean Tinguely (1925-1991),1960,specific year,1960,France,France,Europe,,modern & contemporary,,
LAD 2022.016,Carnet No. 1076 - Studies of Yuri Gagarin,Pablo Picasso (1881-1973),1959-1961,year range,1960,France,France,Europe,,modern & contemporary,drawing,
LAD 2015.045,Study for Homage to the Square,Josef Albers (1888-1976),1963,specific year,1963,United States of America,United States of America,America,,modern & contemporary,painting,
LAD 2015.046,Homage to the Square,Josef Albers (1888-1976),1963,specific year,1963,United States of America,United States of America,America,,modern & contemporary,painting,
LAD 2021.008,Untitled ,Keith Haring,1982,specific year,1982,New York,United States of America,America,,modern & contemporary,painting,
LAD 2015.047,Bindu Syed,Haider Raza,1986,specific year,1986,France or India,various,,,modern & contemporary,,
LAD 2010.012,Untitled I-IX,Cy Twombly (1928-2011),2008,specific year,2008,Italy,Italy,Europe,,modern & contemporary,,
LAD 2024.004,Venus and Fish No. 6,Hassan Sharif (1951-2016),2009,specific year,2009,Dubai  ,United Arab Emirates,Asia,,modern & contemporary,,
LAD 2020.120,Monument of Victor Hugo,Auguste Rodin (1840-1917),2012,specific year,2012,Paris ,France,Europe,,modern & contemporary,sculpture,
LAD 2016.013,"Food for Thought - ""Al Muallaqat""",Maha Malluh,2013,specific year,2013,Riyadh ,Saudi Arabia,,,modern & contemporary,sculpture,
LAD 2016.013,"Food for Thought - ""Al Muallaqat""Maha Malluh",anonymous,2013,specific year,2013,Riyadh ,Saudi Arabia,Asia,,modern & contemporary,,
LAD 2016.014,Roots,Mounir Fatmi,2016,specific year,2016,Lille and Paris,France,Europe,,modern & contemporary,,
LAD 2016.011,Act 1 – Den,Omar Ba,2016,specific year,2016,"Dakar, Senegal and Geneva, Switzerland",Senegal,Africa,,modern & contemporary,,
LAD 2016.012,Platform of Confidence – Wealth Looting in Closed Session 1,Omar Ba,2016,specific year,2016,"Dakar, Senegal and Geneva, Switzerland",Senegal,Africa,,modern & contemporary,,
LAD 2016.016,Fountain of Light,Ai Weiwei,2016,specific year,2016,"Beijing, China and Berlin, Germany",,,,modern & contemporary,sculpture,
LAD 2016.015,Multiple Realities (Multiple Horizons),Duncan Wylie,2016,specific year,2016,"Johannesburg, South Africa and London, United Kingdom",various,various,,modern & contemporary,,
LAD 2024.003,"Where One Holds: A Golden Flag in One Hand, Calling: Quick and A Torch in One Hand, Whining: Gone","Ramin Haerizadeh, Rokni Haerizadeh, Hesam Rahmanian",2019,specific year,2019,Dubai  ,United Arab Emirates,Asia,,modern & contemporary,,
LAD 2024.005,Untitled,Mohamed Ahmed Ibrahim,2019,specific year,2019,United Arab Emirates,United Arab Emirates,Asia,,modern & contemporary,,
LAD 2021.024,Malraux,eL Seed,2020,specific year,2020,Dubai  ,United Arab Emirates,Asia,,modern & contemporary,painting,
LAD 2023.002,Here I AmS anki King,,2020,specific year,2020,"Karachi, ",Pakistan,Asia,,modern & contemporary,sculpture,
LAD 2024.001,"After Awakening from a 27-year Coma Due to a Car Crash, Munira Abdulla Visited Sheikh Zayed Grand Mosque, built 16 year After Her Accident","Ramin Haerizadeh, Rokni Haerizadeh, Hesam Rahmanian",2019-2023,year range,2020,Dubai  ,United Arab Emirates,Asia,,modern & contemporary,,
LAD 2024.002,"Madame Tussauds (Nothing Has Changed. Except the Run of The Rivers, The Shape of Forests, Shores, Deserts, And Glaciers)","Ramin Haerizadeh, Rokni Haerizadeh, Hesam Rahmanian",2021,specific year,2021,Dubai  ,United Arab Emirates,Asia,,modern & contemporary,,
LAD 2021.013,"Tiki vaka, Canoe Prow Ornament",anonymous, 19th-20th century,,,"Marquesas Islands, ",French Polynesia,,,modern & contemporary,,
LAD 2021.015,"Nimba, Shoulder Mask",Baga Culture, 19th-20th century,,,Baga Culture ,Guinea,Africa,Baga Culture ,modern & contemporary,,
LAD 2021.012,Ceremonial Face Mask,Dan Culture, 19th-20th century,,,Dan Culture ,Ivory Coast,Africa,,modern & contemporary,,
LAD 2021.014,Prestige Shield,anonymous, 19th-20th century,,,Solomon Islands ,Melanesia,Oceania,,modern & contemporary,,
LAD 2019.023,Plain Stem Cup,anonymous,(618-907),,,China,China,Asia,"Tang Dynasty (618-907), ",middle ages,,
LAD 2022.008,"Ritual Vase, Called Fanghu",anonymous,1050-771 ,,,China,China,Asia,Western Zhou Dynasty (1046-771) BCE,ancient worlds,furniture,
LAD 2019.038.006,Circular Coin of the Reign of Shenzong,anonymous,1078-1085,,,China,China,Asia,"Northern Song Dynasty (960-1127), ",ancient worlds,numismatic,
LAD 2019.038.007,Circular Coin of the Reign of Shenzong,anonymous,1078-1085,,,China,China,Asia,"Northern Song Dynasty (960-1127), ",ancient worlds,numismatic,
LAD 2011.028,Bowl with Two-colour Inscription,anonymous,10th 11th,,,Central Asia,,Asia,Samanid Period (819-999) century CE,middle ages,,
LAD 2019.018,Octagonal Cup with Phoenix Decoration,anonymous,10th 12th century,,,China,China,Asia,"Late Tang (618-907) or Early Liao Dynasty (916-1125), ",middle ages,,
LAD 2019.041.022,Bezant of the Latin States of the East,anonymous,1147-1187 ,,,Tripoli ,Lebanon,Asia,Latin States of the East (1102-1289),middle ages,,
LAD 2019.041.023,Bezant of the Latin States of the East,anonymous,1147-1187 ,,,Tripoli ,Lebanon,Asia,Latin States of the East (1102-1289),middle ages,,
LAD 2019.041.027,Bezant of the Latin States of the East,anonymous,1187-1233 ,,,Tripoli ,Lebanon,Asia,Latin States of the East (1102-1289),middle ages,,
LAD 2010.007,Platter with Drinkers and Musicians,anonymous,1250 1325,,,Al-Jazira (Northern Syria and North-West Iraq),,,,middle ages,,
LAD 2019.026,Dish with Peony Decoration,anonymous,1279 1368,,,China,China,Asia,Yuan Dynasty (1279-1368),middle ages,,
LAD 2019.025,Bowl with Dragon Shaped Handle,anonymous,1279-1368,,,China,China,Asia,Yuan Dynasty (1279-1368),middle ages,ceramic,
LAD 2019.025,Bowl with Dragon Shaped Handle,anonymous,1279-1368,,,China,China,Asia,Yuan Dynasty (1279-1368),middle ages,,
LAD 2014.033,"Maitreya, a Buddha in a Time yet to Come",anonymous,12th century,,,Nepal,Nepal,Asia,,middle ages,,
LAD 2014.033,"Maitreya, a Buddha in a Time yet to Come",anonymous,12th century,,,Nepal,Nepal,Asia,,middle ages,,
LAD 2014.009,Rooster-headed Ewer,anonymous,12th-13th century,,,Iran,Iran,Asia,,middle ages,,
LAD 2019.037.038,Dinar of Emperor Huvishka,anonymous,151-190 CE,,,"Balkh, Bactria",Afghanistan,Asia,,ancient worlds,numismatic,
LAD 2013.009,Helmet of a Warrior,anonymous,1573-1603,,,Japan,Japan,Asia,,early modern,,
LAD 2016.004,Map of the World,anonymous,15th century,,,Iran or Iraq,,Asia,,early modern,,
LAD 2012.008,"Falconer’s Feed Case, Decorated with a Coat of Arms",,16th century,,,Northern Italy,Italy,Europe,,early modern,,
LAD 2012.098,Illustration of a Ragamala: Sindhu Ragini,anonymous,17th century,,,"Sirohi (?), Rajasthan ",India,Asia,,early modern,,
LAD 2011.016,"Bodhidharma, Founder of Zen Buddhism",Kanô Tan’yû (1602-1674),17th century,,,Japan,Japan,Asia,,early modern,,
LAD 2014.016,Ceremonial Dagger with a Volute-shaped Hilt (Khanjar),anonymous,17th century century,,,India,India,Asia,,early modern,,
LAD 2015.017,"Mail and Plate Armour, Called “Four Mirrors” Armour",anonymous,17th-18th,,,Mughal India,India,Asia,,early modern,,
LAD 2019.037.009,Octodrachm of Queen Arsinoe II,anonymous,180 BCE-115 BCE,,,Alexandria ,Egypt,Africa,Ptolemy dinasty,ancient worlds,numismatic,
LAD 2011.128,Dhola and Maru Escaping on a Camel,anonymous,18th century,,,India,India,Asia,,early modern,,
LAD 2018.010,“Katar” Ceremonial Dagger,anonymous,18th century,,,India,India,Asia,,early modern,,
LAD 2011.071,Ragamala Illustration: Todi Ragini,,18th century,,,Mewar ,India,Asia,,early modern,,
LAD 2011.021,Pilgrim on the Bridge of Mama,Hakuin Ekaku (1685-1768),18th century,,,Japan,Japan,Asia,,early modern,,
LAD 2011.019,Zen Staff,Jiun Onkô (1718-1804),18th century,,,Japan,Japan,Asia,,early modern,,
LAD 2011.020,One ,Jiun Onkô (1718-1804),18th century,,,Japan,Japan,Asia,,early modern,,
LAD 2011.023,Representation of Bodhidharma,Jiun Onkô (1718-1804),18th century,,,Japan,Japan,Asia,,early modern,,
LAD 2011.022,En-Sô,Tôrei Enji (1721-1792),18th century,,,Japan,Japan,Asia,,early modern,,
LAD 2013.008,Partition Wall Decorated with Cranes in a Landscape,anonymous,18th century,,,Japan,Japan,Asia,,early modern,,
LAD 2012.113,Altar Sculpture of a Rooster,anonymous,18th century,,,"Edo peoples,formerly Court of Benin",Nigeria ,Africa,,early modern,,
LAD 2011.029,Pavement and Octagonal Fountain,anonymous,18th century,,,Damascus,Syria,Asia,,early modern,,
LAD 2019.037.016,"Denier of Augustus, first Roman Emperor",anonymous,19-18 BCE,,,"Colonia Patricia, ",Spain,Europe,anonymous,ancient worlds,numismatic,
LAD 2023.006,Asante Stool of the Queen Mother,anonymous,19th century,,,Ghana,Ghana,Africa,,modern & contemporary,,
LAD 2011.089,The Goddess Lakshmi,anonymous,19th century,,,Andhra Pradesh ,India,Asia,,modern & contemporary,,
LAD 2011.130,Life in the Street Outside a Fortress,anonymous,19th century,,,India,India,Asia,,modern & contemporary,,
LAD 2011.131,Bringing Home the Harvest,anonymous,19th century,,,India,India,Asia,,modern & contemporary,,
LAD 2021.021,Ceremonial Axe,Kanak Culture,19th century or earlier,,,Kanak Culture ,New Caledonia,Oceania,,modern & contemporary,metallic,
LAD 2020.110,"Mbanchong, Serpent Mask Headdress",Nalu or Baga Culture ,19th-20th century,,,Nalu or Baga Culture ,Guinea,Africa,,modern & contemporary,,
LAD 2021.017,Ci Wara Headdress,Bamana Culture,19th-20th century,,,Bamana Culture ,Mali,Africa,,modern & contemporary,,
LAD 2012.007,Door Knocker with Mythological Figures,anonymous,1st half of 16th century,,,"Venice or Mantova, Italy",Italy,Europe,Republic of Venice (697-1797),early modern,,
LAD 2015.036,Commemorative Head of an Oba,anonymous,1st half of 19th century,,,Ancient Kingdom of Benin ,Nigeria,Africa,,modern & contemporary,sculpture,
LAD 2012.023,Set of Romanesque Columns and Capitals,anonymous,1st quarter of 12th century,,,"Bimont Church, Beauville",France,Europe,,middle ages,sculpture,
LAD 2019.017,Mirror Decorated with Taoist Divinities,anonymous,201 CE-400 CE,,,China,China,Asia,,ancient worlds,furniture,
LAD 2019.030,Male Praying Figure,anonymous,2400 BCE-2300 BCE,,,Iraq or Syria,,,,ancient worlds,sculpture,
LAD 2013.050,Portrait of Emperor Augustus,anonymous,27 BCE-100 CE,,,"Rome (?), ",Italy,Europe,,ancient worlds,sculpture,
LAD 2018.011,Mamluk Carpet with Three Medallions,,2nd half of 15th century,,,Cairo,Egypt,Africa,Mamluk dinasty,middle ages,,
LAD 2020.094,Courtesans Under Blossoming Plum,Torii Kiyomitsu (1735-1785),2nd half of 18th century,,,Japan,Japan,Asia,,early modern,,
LAD 2022.004,Storage jar with painted decoration,anonymous,3100-2700 BCE,,,China,China,Asia,,ancient worlds,,
LAD 2019.037.004,"Double Stater of Philip II, King of Macedon",anonymous,340-328 BCE,,,Pella ,Greece,Europe,,ancient worlds,numismatic,
LAD 2012.022,Image of a Queen or a Goddess,anonymous,360 BCE-282 BCE,,,Egypt,Egypt,Africa,,ancient worlds,,
LAD 2019.016,Garment Hook,anonymous,400 BCE-300 BCE,,,China,China,Asia,,ancient worlds,jewellery,
LAD 2020.118,Diadem,anonymous,400 BCE-300 BCE,,,Ancient Greek World,Greece,,,ancient worlds,jewellery,
LAD 2019.033,Kneeling Figure,anonymous,400 BCE-300 BCE,,,Egypt,Egypt,Africa,,ancient worlds,sculpture,
LAD 2017.001,"Winged Dragon Called "" Stoclet Dragon""",anonymous,450 BCE-250 BCE,,,Northern China,China,Asia,,ancient worlds,sculpture,
LAD 2010.005,"Ceremonial Vase, Called Fanghu",anonymous,475 BCE 221 BCE,,,China,China,Asia,,ancient worlds,metallic,https://lad-api.fluxguide.dev/uploads/medium/100004138__63564f45-580f-460e-bf0c-601e74556b73.jpg
LAD 2019.037.013,Tetradrachm with Athena,anonymous,490-407 BCE,,,Athens,Greece,Europe,,ancient worlds,numismatic,
LAD 2019.024,Stem Cup with Birds and Flowers Decoration,anonymous,618-907,,,China,China,Asia,"Tang Dynasty (618-907), ",middle ages,,
LAD 2020.115,Majmu'at Al-mutawassitat or the Book of Intermediates Nasir al-Din al-Tusi,anonymous,682 AH-706 AH,,,Baghdad ,Iraq,Asia,,middle ages,,
LAD 2019.039.003,Solidus of the Reign of Justinian II,anonymous,692-695,,,"Constantinople (modern day Istanbul, Turkey)",Turkey,Asia,Byzantine Empire (330-1453),ancient worlds,numismatic,
LAD 2020.114,Astrological Compendium (Two Works Bound in One Volume),anonymous,694 AH,,,"Baghdad (?), ",Iraq,Asia,,middle ages,,
LAD 2019.039.002,Solidus of the Reign of Tiberius III,,698-705,,,"Constantinople (modern day Istanbul, Turkey)",Turkey,Asia,Byzantine Empire (330-1453),middle ages,numismatic,
LAD 2019.020,Spherical Censer,anonymous,8th -9th century,,,China,China,Asia,"Tang Dynasty (618-907), ",middle ages,,
LAD 2018.002,Ewer with a Phoenix Head,anonymous,"8th, century",,,China,China,Asia,"Tang Dynasty (618-907), ",middle ages,,
LAD 2019.038.003,Circular Coin,anonymous,9 CE-23 CE,,,China,China,Asia,,ancient worlds,numismatic,
LAD 2019.038.004,Circular Coin,anonymous,9 CE-23 CE,,,China,China,Asia,,ancient worlds,numismatic,
LAD 2009.023,Dancing Shiva,Chola Kingdom,"950 1000, Chola Kingdom (848-1279)",,,Tamil Nadu ,India,Asia,,middle ages,,
LAD 2019.038.002,Hoard of Coins,anonymous,960 1127,,,China,China,Asia,,ancient worlds,,
LAD 2017.004,Bowl with Metallic Lustre DecorationAli Abu Shaddad,anonymous,"9th, century ",,,Iraq,Iraq,Asia,Abbasid Dynasty (750-1258),middle ages,,
LAD 2016.003,"Treatise on Calendars, a Study of Astrological Calculations",anonymous,beginning of 13th century,,,Baghdad ,Iraq,Asia,,middle ages,,
LAD 2012.006,A Falconer,anonymous,beginning of 17th century,,,Allahabad (?) ,India,Asia,,early modern,,
LAD 2012.089,Elephant Attached to a Tree Stump,anonymous,beginning of 17th century,,,Bikaner ,India,Asia,,early modern,,
LAD 2012.085,Mounted Uzbek Prisoner,anonymous,beginning of 17th century,,,Iran or central Asia,Iran,Asia,,early modern,,
LAD 2021.005,"Persian carpet, also known as a ""polonaise"" carpet",anonymous,beginning of 17th century,,,Isfahan,Iran,Asia,Safavid Dynasty,early modern,,
LAD 2020.001,"Westerners (the West), Painting from a Series of Foreign Dignitaries",Yu Zhiding (1647-1716),beginning of 18 th century,,,Qing dynasty,China ,Asia,Qing dynasty,early modern,painting,
LAD 2012.095,Antelope in a Landscape,anonymous,beginning of 19th century,,,Delhi,India,Asia,,modern & contemporary,,
LAD 2011.085,A Prince Being Entertained by Female Musicians on a Ferris Wheel,anonymous,beginning of 19th century,,,India,India,Asia,,modern & contemporary,,
LAD 2020.002,"Lama (Tibet), Painting from a Series of Foreign Dignitaries",Yu Zhiding (1647-1716),beginning of-mid 18th century,,,Qing dynasty,China ,Asia,Qing dynasty,early modern,painting,
LAD 2020.003,"Khalkha (Mongols), Painting from a Series of Foreign Dignitaries",Yu Zhiding (1647-1716),beginning of-mid 18th century,,,Qing dynasty,China ,Asia,Qing dynasty,early modern,painting,
